pessoa;x;y;z;tempo;hora;som
18;269.918;-415.637;-0.67;00:00;20:20:11;20
18;269.918;-415.637;-0.67;00:00;20:20:11;20
18;269.918;-415.637;-0.67;00:00;20:20:11;20
18;269.918;-415.637;-0.67;00:00;20:20:11;20
18;269.918;-415.637;-0.67;00:00;20:20:11;20
18;269.918;-415.637;-0.67;00:00;20:20:11;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;269.918;-415.637;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:12;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:13;20
18;262.623;-420.284;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
18;255.248;-424.804;-0.67;00:00;20:20:15;20
